project_id,group_id,mention_handle,interval,total_commits,sum_lines_added,sum_lines_deleted,sum_lines_per_commit,active_days,last_minute_commits,total_merge_requests,merged_requests,review_comments_given,review_comments_received,total_issues_created,total_issues_assigned,issues_resolved,issue_participation,branches_created,merges_to_main_branch,Final Grade
61760822,93365912,gabrielepduarte,3,0,0,0,0,0,0,1,1,4,14,1,7,0,8,98,48,12
61760822,93365912,filipesoares06,3,0,0,0,0,0,0,5,5,14,10,31,11,17,39,98,48,15
61760822,93365912,tiagoncalves,3,0,0,0,0,0,0,1,1,4,4,0,5,0,9,98,48,13
61760822,93365912,pedropires14,3,0,0,0,0,0,0,2,2,13,6,44,11,18,47,98,48,14
61760822,93365912,duartepereira,3,0,0,0,0,0,0,1,1,2,4,2,13,1,25,98,48,14
61760822,93365912,andrealbuquerque21,3,0,0,0,0,0,0,1,1,2,3,1,7,0,10,98,48,12
61760822,93365912,alexjmr,3,0,0,0,0,0,0,2,2,7,8,0,5,0,8,98,48,14
61760822,93365912,gustavoopinto,3,0,0,0,0,0,0,3,2,13,17,0,3,0,1,98,48,12
61760822,93365912,bsluz,3,0,0,0,0,0,0,2,2,13,14,1,5,0,5,98,48,13
61760822,93365912,luisgois,3,0,0,0,0,0,0,2,2,11,12,9,6,3,10,98,48,13
61760822,93365912,leossilva099,3,0,0,0,0,0,0,3,1,7,7,1,4,0,7,98,48,11
61760822,93365912,rafaelmarques11,3,0,0,0,0,0,0,3,2,11,19,0,2,0,2,98,48,11
61760822,93365912,tomasploureiro,3,0,0,0,0,0,0,4,2,6,7,1,5,1,7,98,48,12
61760822,93365912,francisco_vmq,3,0,0,0,0,0,0,1,1,1,2,0,3,0,5,98,48,8
61760884,93365912,botassimao,3,46,1220,178,1398,8,0,2,2,3,6,9,5,9,26,1,18,16
61760884,93365912,crimorglia01,3,44,892,558,1450,10,0,0,0,0,0,0,13,0,20,1,18,15
61760884,93365912,zepedross,3,17,454,18,472,6,0,0,0,0,0,11,7,11,55,1,18,16
61760884,93365912,diogo.silva.henriques44,3,47,1023,132,1155,14,0,3,2,3,5,33,37,33,158,1,18,17
61760884,93365912,marianattpinho,3,47,1528,143,1671,12,0,0,0,0,0,20,19,20,89,1,18,17
61760884,93365912,miguelquaresma04,3,36,1284,568,1852,9,0,1,1,2,1,10,12,10,44,1,18,15
61760884,93365912,guilhermeabadesso,3,2,92,0,92,1,0,2,2,2,3,45,29,44,76,1,18,15
61760884,93365912,galmarcal18,3,17,232,167,399,3,0,0,0,0,0,1,0,1,1,1,18,2
61760884,93365912,lucas.yamamoto,3,3,2,0,2,1,0,1,1,1,1,0,2,0,0,1,18,11
61760884,93365912,andre_martins_unilu,3,0,0,0,0,0,0,8,7,20,18,140,39,135,222,1,18,18
61760884,93365912,diogojgferreira,3,0,0,0,0,0,0,1,1,6,1,20,11,20,66,1,18,17
61760884,93365912,ananicolas,3,0,0,0,0,0,0,1,1,1,2,3,8,3,25,1,18,16
61760884,93365912,lunnasantana,3,0,0,0,0,0,0,1,1,2,2,0,1,0,1,1,18,10
61760884,93365912,diogomartins4,3,0,0,0,0,0,0,1,1,1,2,27,13,27,75,1,18,17
61760884,93365912,joao.celavisa,3,0,0,0,0,0,0,0,0,0,0,3,12,3,30,1,18,15
61760884,93365912,renatomreis,3,0,0,0,0,0,0,0,0,0,0,38,7,32,80,1,18,17
61760884,93365912,clarahernandez04,3,0,0,0,0,0,0,0,0,0,0,2,4,2,13,1,18,16
61760884,93365912,manucalvo,3,0,0,0,0,0,0,0,0,0,0,2,2,2,7,1,18,15
61760884,93365912,goncalos309,3,0,0,0,0,0,0,0,0,0,0,8,2,8,25,1,18,15
61760884,93365912,samcoelho137,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,18,10
61760884,93365912,joaobarata,3,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1,18,13
61760884,93365912,bluewave016,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,18,11
61760919,93365912,pedroanjinhosilva04,3,6,8,0,8,3,0,0,0,0,0,2,3,2,3,42,24,13
61760919,93365912,rodrigo.jose.barata,3,7,31,11,42,3,0,0,0,1,0,3,1,3,11,42,24,13
61760919,93365912,crism17,3,4,6,1,7,2,0,0,0,0,0,0,0,0,0,42,24,11
61760919,93365912,margaridamarques,3,31,447,110,557,8,0,1,1,3,4,2,8,1,8,42,24,14
61760919,93365912,rodrigojmatias,3,31,1619,1400,3019,8,0,0,0,0,0,2,5,2,13,42,24,15
61760919,93365912,tiagoperrod22,3,26,621,419,1040,8,0,0,0,0,0,8,6,8,12,42,24,15
61760919,93365912,am.crsi.853,3,52,729,248,977,12,0,3,3,1,4,12,6,12,34,42,24,15
61760919,93365912,jpmcascais,3,84,3538,1618,5156,13,0,2,2,34,2,34,7,32,45,42,24,17
61760919,93365912,joaogpfigueiredo,3,4,60,87,147,4,0,3,3,2,8,8,3,8,16,42,24,15
61760919,93365912,ritabreupinto,3,13,279,152,431,3,0,1,1,0,2,3,2,2,12,42,24,14
61760919,93365912,inescosta20,3,0,0,0,0,0,0,0,0,1,0,2,2,0,19,42,24,14
61760919,93365912,masa604,3,0,0,0,0,0,0,1,1,3,6,13,7,12,22,42,24,15
61760919,93365912,alexandre_fv_fonseca,3,0,0,0,0,0,0,5,5,10,13,28,9,27,26,42,24,15
61760919,93365912,luanacarolinareis,3,0,0,0,0,0,0,5,5,1,9,3,6,3,16,42,24,16
61760919,93365912,mbscouto,3,0,0,0,0,0,0,1,1,1,3,0,0,0,6,42,24,10
61760919,93365912,rmsr2004,3,0,0,0,0,0,0,2,2,1,3,11,5,10,22,42,24,16
61760919,93365912,notimelikenow,3,0,0,0,0,0,0,1,1,3,6,2,3,2,14,42,24,17
61760919,93365912,alexrm1,3,0,0,0,0,0,0,1,1,0,1,6,6,6,9,42,24,16
61760919,93365912,goncalofferreira03,3,0,0,0,0,0,0,0,0,0,0,2,5,2,4,42,24,12
61760919,93365912,inesnisa,3,0,0,0,0,0,0,0,0,0,0,2,5,2,11,42,24,12
61760919,93365912,msilva2203,3,0,0,0,0,0,0,0,0,0,0,2,6,2,19,42,24,15
61760919,93365912,guirodrigues8,3,0,0,0,0,0,0,0,0,0,0,1,6,1,14,42,24,13
61760919,93365912,crism17,3,0,0,0,0,0,0,0,0,0,0,0,5,0,11,42,24,11
61760919,93365912,edi.marques,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,42,24,12
61760919,93365912,jsimoes04,3,0,0,0,0,0,0,0,0,0,0,3,12,1,10,42,24,15
61760919,93365912,simao_campanudo,3,0,0,0,0,0,0,0,0,0,0,3,4,1,9,42,24,15
61760919,93365912,rodrigocoelho99,3,0,0,0,0,0,0,0,0,0,0,3,3,3,15,42,24,11
61760919,93365912,davidmc03,3,0,0,0,0,0,0,0,0,0,0,5,6,2,9,42,24,15
61760919,93365912,cd728,3,0,0,0,0,0,0,0,0,0,0,2,2,2,4,42,24,15
61760919,93365912,iara03,3,0,0,0,0,0,0,0,0,0,0,2,2,2,14,42,24,13
61760919,93365912,afns,3,0,0,0,0,0,0,0,0,0,0,2,0,2,15,42,24,13
61760973,93365912,goncalonpb,3,57,995,275,1270,7,0,0,0,2,0,20,11,11,38,81,9,17
61760973,93365912,tiagomendes1992,3,31,406,381,787,5,0,0,0,0,0,3,8,0,5,81,9,15
61760973,93365912,brunomvilasboas,3,3,72,37,109,3,0,3,2,0,4,31,15,22,50,81,9,16
61760973,93365912,wmvenica,3,27,360,337,697,5,0,0,0,0,0,2,5,1,3,81,9,11
61760973,93365912,floureiro4,3,29,762,352,1114,2,0,0,0,0,0,0,1,0,13,81,9,16
61760973,93365912,luis.miguel.vaz2004,3,25,1155,822,1977,4,0,1,1,2,2,18,11,18,45,81,9,17
61760973,93365912,pedrogarciateixeira,3,8,215,91,306,2,0,0,0,0,0,0,0,0,0,81,9,1
61760973,93365912,tiago_silva_,3,0,0,0,0,0,0,3,2,15,7,37,27,31,40,81,9,18
61760973,93365912,pedrocarvlima,3,0,0,0,0,0,0,3,2,4,7,63,15,53,121,81,9,18
61760973,93365912,xicocaetano,3,0,0,0,0,0,0,3,2,1,5,33,19,23,37,81,9,18
61760973,93365912,shonunes,3,0,0,0,0,0,0,0,0,1,0,5,5,1,28,81,9,15
61760973,93365912,jotapegpng,3,0,0,0,0,0,0,1,0,2,2,6,1,6,11,81,9,15
61760973,93365912,joaodmendes,3,0,0,0,0,0,0,5,0,5,5,0,2,0,5,81,9,12
61760973,93365912,joao8domingos,3,0,0,0,0,0,0,0,0,0,0,6,18,1,28,81,9,17
61760973,93365912,laura_santos,3,0,0,0,0,0,0,0,0,0,0,13,8,12,36,81,9,15
61760973,93365912,miguelpereira_dei,3,0,0,0,0,0,0,0,0,0,0,35,8,19,46,81,9,11
61760973,93365912,jafonsodmoura,3,0,0,0,0,0,0,0,0,0,0,5,22,1,15,81,9,16
61760973,93365912,jfonseca727,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,81,9,1
61760973,93365912,jl.marques,3,0,0,0,0,0,0,0,0,0,0,6,3,5,33,81,9,0
61760973,93365912,pedrocostakk75,3,0,0,0,0,0,0,0,0,0,0,11,12,11,36,81,9,17
61760973,93365912,evapx2003,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,81,9,4
61760973,93365912,carlos-pereir4,3,0,0,0,0,0,0,0,0,0,0,5,1,1,11,81,9,10
61760973,93365912,miguel2004pt,3,0,0,0,0,0,0,0,0,0,0,6,8,1,14,81,9,17
61760973,93365912,migo.gomes5,3,0,0,0,0,0,0,0,0,0,0,8,7,2,20,81,9,13
61760973,93365912,franciscopereira04,3,0,0,0,0,0,0,0,0,0,0,5,8,1,10,81,9,13
61760973,93365912,vicentemota,3,0,0,0,0,0,0,0,0,0,0,2,1,0,3,81,9,14
61760973,93365912,guisantosneto,3,0,0,0,0,0,0,0,0,0,0,0,6,0,2,81,9,11
61760973,93365912,2001vaas,3,0,0,0,0,0,0,0,0,0,0,4,7,4,11,81,9,0
